,columns,feat_imp
0,P_2,0.22281294
1,D_39,0.0029211638
2,B_1,0.07981756
3,B_2,0.0077201
4,R_1,0.0136335315
5,S_3,0.018688211
6,D_41,0.0068160477
7,B_3,0.017358633
8,D_42,0.02717907
9,D_43,0.010303788
10,D_44,0.017731747
11,B_4,0.007777448
12,D_45,0.009878615
13,B_5,0.005065595
14,R_2,0.0019676483
15,D_46,0.008544128
16,D_47,0.005248795
17,D_48,0.015026122
18,D_49,0.009119328
19,B_6,0.0036711658
20,B_7,0.0049151476
21,B_8,0.002533728
22,D_50,0.00844834
23,D_51,0.009925015
24,B_9,0.040393762
25,R_3,0.004399402
26,D_52,0.00288679
27,P_3,0.0057003717
28,B_10,0.003914875
29,D_53,0.01222965
30,S_5,0.0029681942
31,B_11,0.007551713
32,S_6,0.002076486
33,D_54,0.0028259319
34,R_4,0.0015068647
35,S_7,0.003752681
36,B_12,0.0020618162
37,S_8,0.0025555403
38,D_55,0.002170302
39,D_56,0.008396309
40,B_13,0.0020952448
41,R_5,0.0018797361
42,D_58,0.001553728
43,S_9,0.004440351
44,B_14,0.002538419
45,D_59,0.0018781156
46,D_60,0.002471893
47,D_61,0.00218761
48,B_15,0.0017941669
49,S_11,0.0023796703
50,D_62,0.004008156
51,D_65,0.00161615
52,B_16,0.0028482918
53,B_17,0.017879333
54,B_18,0.0023617109
55,B_19,0.0017987285
56,D_66,0.0089766
57,B_20,0.0027150775
58,D_68,0.0021868225
59,S_12,0.0026318692
60,R_6,0.0013951067
61,S_13,0.001235964
62,B_21,0.0019935113
63,D_69,0.0014281624
64,B_22,0.0019061964
65,D_70,0.001983098
66,D_71,0.0017696854
67,D_72,0.0016183967
68,S_15,0.0023544075
69,B_23,0.0021297897
70,D_73,0.0021570425
71,P_4,0.0016800468
72,D_74,0.0017179247
73,D_75,0.0078041395
74,D_76,0.0056692935
75,B_24,0.0017922967
76,R_7,0.0014839963
77,D_77,0.0063605695
78,B_25,0.0019131539
79,B_26,0.0014705025
80,D_78,0.0015137083
81,D_79,0.0015221875
82,R_8,0.0014737614
83,R_9,0.0025973031
84,S_16,0.0017821692
85,D_80,0.0018292507
86,R_10,0.0015452026
87,R_11,0.0019285764
88,B_27,0.0016943526
89,D_81,0.0014674857
90,D_82,0.0031220256
91,S_17,0.0017539657
92,R_12,0.0019059135
93,B_28,0.0022230675
94,R_13,0.0015758823
95,D_83,0.0018082615
96,R_14,0.0016698237
97,R_15,0.0018074585
98,D_84,0.0013872882
99,R_16,0.0016661041
100,B_29,0.003914523
101,B_30,0.0
102,S_18,0.0015165975
103,D_86,0.0014535658
104,D_87,0.0016295705
105,R_17,0.0011155234
106,R_18,0.001697246
107,D_88,0.0066105057
108,B_31,0.0
109,S_19,0.0014908907
110,R_19,0.0015380514
111,B_32,0.0015149674
112,S_20,0.001556997
113,R_20,0.001419923
114,R_21,0.0013599907
115,B_33,0.0015543167
116,D_89,0.0015806524
117,R_22,0.0015158849
118,R_23,0.0015142356
119,D_91,0.0024067902
120,D_92,0.001332826
121,D_93,0.0014797457
122,D_94,0.0017743561
123,R_24,0.0016576096
124,R_25,0.0014689201
125,D_96,0.0014281006
126,S_22,0.0019781392
127,S_23,0.004255933
128,S_24,0.0036033026
129,S_25,0.0017847345
130,S_26,0.003671473
131,D_102,0.0017053741
132,D_103,0.001291109
133,D_104,0.0016205942
134,D_105,0.0023992646
135,D_106,0.0022643162
136,D_107,0.0014956755
137,B_36,0.0014761986
138,B_37,0.004695531
139,R_26,0.003212254
140,R_27,0.007519515
141,B_38,0.00875704
142,D_108,0.0034137703
143,D_109,0.0011824974
144,D_110,0.0070463833
145,D_111,0.0070131184
146,B_39,0.0027018925
147,D_112,0.0052388497
148,B_40,0.0019526815
149,S_27,0.0020494792
150,D_113,0.0019681063
151,D_114,0.0028066242
152,D_115,0.0020497115
153,D_116,0.0
154,D_117,0.0024543416
155,D_118,0.0032612404
156,D_119,0.0022358464
157,D_120,0.0030317649
158,D_121,0.0032421928
159,D_122,0.002003865
160,D_123,0.0016142216
161,D_124,0.0018467847
162,D_125,0.0015350967
163,D_126,0.0
164,D_127,0.0013657355
165,D_128,0.002092272
166,D_129,0.0030982948
167,B_41,0.0015516304
168,B_42,0.0025360507
169,D_130,0.0016597266
170,D_131,0.0017948723
171,D_132,0.00980431
172,D_133,0.0019675172
173,R_28,0.0016000669
174,D_134,0.0054988232
175,D_135,0.0017635502
176,D_136,0.0024428759
177,D_137,0.002077863
178,D_138,0.0025346475
179,D_139,0.001782991
180,D_140,0.0016455002
181,D_141,0.0017807279
182,D_142,0.002547285
183,D_143,0.0016273184
184,D_144,0.0019878887
185,D_145,0.0015049002
186,D_63_CO,0.0
187,D_63_CR,0.0022710038
188,D_63_XL,0.0
189,D_63_XM,0.0
190,D_63_XZ,0.0
191,D_64_O,0.008656022
192,D_64_R,0.0
193,D_64_U,0.0006241347
