,columns,feat_imp
0,P_2,0.17055981
1,D_39,0.003282969
2,B_1,0.047170896
3,B_2,0.0035615535
4,R_1,0.0061691795
5,S_3,0.020714147
6,D_41,0.0059631434
7,B_3,0.02304555
8,D_42,0.023391087
9,D_43,0.010443372
10,D_44,0.006632242
11,B_4,0.008618995
12,D_45,0.010296939
13,B_5,0.0063705314
14,R_2,0.0027212764
15,D_46,0.0066802893
16,D_47,0.0046172
17,D_48,0.007692072
18,D_49,0.008689367
19,B_6,0.0042984625
20,B_7,0.0029164176
21,B_8,0.0033218563
22,D_50,0.004818665
23,D_51,0.006621976
24,B_9,0.0023791231
25,R_3,0.0054294337
26,D_52,0.0054364703
27,P_3,0.0040171975
28,B_10,0.0029360831
29,D_53,0.011274883
30,S_5,0.0029580295
31,B_11,0.0033748406
32,S_6,0.002569233
33,D_54,0.0034698786
34,R_4,0.0024923244
35,S_7,0.0038558047
36,B_12,0.0021471204
37,S_8,0.003830805
38,D_55,0.0026885213
39,D_56,0.008316397
40,B_13,0.0030856326
41,R_5,0.0023182651
42,D_58,0.002526057
43,S_9,0.004578231
44,B_14,0.003602017
45,D_59,0.002818944
46,D_60,0.0032013261
47,D_61,0.0045509045
48,B_15,0.0031286757
49,S_11,0.0026681998
50,D_62,0.0077685593
51,D_65,0.002384488
52,B_16,0.00259647
53,B_17,0.021971984
54,B_18,0.006071617
55,B_19,0.003147209
56,D_66,0.017630978
57,B_20,0.0033079656
58,D_68,0.0010876944
59,S_12,0.003411886
60,R_6,0.0026822207
61,S_13,0.0028047601
62,B_21,0.002402186
63,D_69,0.0029208579
64,B_22,0.002712088
65,D_70,0.0027491176
66,D_71,0.002886371
67,D_72,0.0028828837
68,S_15,0.0023139536
69,B_23,0.01731368
70,D_73,0.0029524234
71,P_4,0.003275596
72,D_74,0.0028458685
73,D_75,0.002717022
74,D_76,0.0048825294
75,B_24,0.0026162153
76,R_7,0.0025040924
77,D_77,0.0035114076
78,B_25,0.002965944
79,B_26,0.0029178592
80,D_78,0.0026204968
81,D_79,0.0026149543
82,R_8,0.002343981
83,R_9,0.0043528527
84,S_16,0.002927942
85,D_80,0.0025754434
86,R_10,0.002394851
87,R_11,0.002846812
88,B_27,0.0025585075
89,D_81,0.0026089605
90,D_82,0.0030241536
91,S_17,0.0027725187
92,R_12,0.0023344385
93,B_28,0.0034012217
94,R_13,0.00226776
95,D_83,0.0020482477
96,R_14,0.0027886436
97,R_15,0.0028443167
98,D_84,0.0026862272
99,R_16,0.0028479504
100,B_29,0.0040226257
101,B_30,0.0
102,S_18,0.0030838521
103,D_86,0.0026438558
104,D_87,0.0026856528
105,R_17,0.0027516508
106,R_18,0.0023581693
107,D_88,0.0068218424
108,B_31,0.0
109,S_19,0.0024880974
110,R_19,0.0024281677
111,B_32,0.0023922264
112,S_20,0.0021680396
113,R_20,0.002409324
114,R_21,0.002461448
115,B_33,0.0026462157
116,D_89,0.0024164692
117,R_22,0.0026117193
118,R_23,0.0026911353
119,D_91,0.003058646
120,D_92,0.0029399996
121,D_93,0.002473449
122,D_94,0.0024064647
123,R_24,0.0026504486
124,R_25,0.0024986984
125,D_96,0.0026932794
126,S_22,0.0026807673
127,S_23,0.005378937
128,S_24,0.0050397865
129,S_25,0.0023164318
130,S_26,0.0032680875
131,D_102,0.0024757017
132,D_103,0.0025731595
133,D_104,0.0027384527
134,D_105,0.002975032
135,D_106,0.001995136
136,D_107,0.002792971
137,B_36,0.0022945716
138,B_37,0.0037207275
139,R_26,0.0038160398
140,R_27,0.0076204045
141,B_38,0.013422511
142,D_108,0.0054200287
143,D_109,0.002590383
144,D_110,0.007178384
145,D_111,0.0044767717
146,B_39,0.0036016186
147,D_112,0.0056877527
148,B_40,0.003291099
149,S_27,0.0031206028
150,D_113,0.0031745099
151,D_114,0.0032002116
152,D_115,0.0028985105
153,D_116,0.0
154,D_117,0.0023554135
155,D_118,0.00281182
156,D_119,0.0036928726
157,D_120,0.0035665915
158,D_121,0.0031924266
159,D_122,0.0027074604
160,D_123,0.0026521957
161,D_124,0.0035653913
162,D_125,0.0025919024
163,D_126,0.002239656
164,D_127,0.0026566389
165,D_128,0.0026485666
166,D_129,0.0041271523
167,B_41,0.002486472
168,B_42,0.003239626
169,D_130,0.0028345033
170,D_131,0.0027996912
171,D_132,0.016380252
172,D_133,0.002621295
173,R_28,0.0025895762
174,D_134,0.0045820307
175,D_135,0.0035665962
176,D_136,0.0027178705
177,D_137,0.0023999477
178,D_138,0.0020795523
179,D_139,0.0029320242
180,D_140,0.0025667485
181,D_141,0.002792151
182,D_142,0.0029407362
183,D_143,0.0024688267
184,D_144,0.0031235763
185,D_145,0.0024319
186,D_63_CO,0.0018403486
187,D_63_CR,0.0031287984
188,D_63_XL,0.0
189,D_63_XM,0.0
190,D_63_XZ,0.002526624
191,D_64_O,0.010115223
192,D_64_R,0.0031288841
193,D_64_U,0.0
