hd,nodes,activation,dropout,batch_size,auc_train,auc_test1,auc_test2
2,6,relu,0,100,0.932880605,0.923226483,0.939494948
2,6,tanh,0,100,0.932455143,0.922438826,0.939778642
2,4,tanh,0,100,0.931091685,0.921508999,0.939216185
2,4,relu,0,100,0.930856594,0.92105863,0.93891557
2,6,relu,0.5,100,0.927967825,0.917146562,0.938103448
2,4,relu,0.5,100,0.927704114,0.916346276,0.938252769
2,6,tanh,0.5,10000,0.925724474,0.914320644,0.936946917
2,6,tanh,0.5,100,0.9257044,0.915079664,0.936506663
2,4,tanh,0.5,100,0.925221348,0.914681384,0.936775151
2,6,tanh,0,10000,0.924921624,0.914094454,0.934279496
2,6,relu,0,10000,0.924278087,0.912799234,0.934215433
2,6,relu,0.5,10000,0.924053945,0.912223523,0.934675995
2,4,relu,0,10000,0.923567376,0.91134226,0.934326959
2,4,tanh,0.5,10000,0.922953192,0.911598849,0.933818744
2,4,relu,0.5,10000,0.920849396,0.908173416,0.931699653
2,4,tanh,0,10000,0.920226597,0.908442787,0.929991373
