hd,nodes,activation,dropout,batch_size,auc_train,auc_test1,auc_test2,Avg,Std Dev
2,6,relu,0,100,0.934090243,0.924958674,0.940911236,0.933320051,0.008004121
2,6,tanh,0,100,0.933140443,0.923371182,0.940384083,0.932298569,0.008537638
4,6,relu,0,100,0.933334962,0.92231636,0.941022331,0.932224551,0.009402292
4,6,tanh,0,100,0.93307873,0.922740703,0.940284194,0.932034542,0.008818235
4,4,tanh,0,100,0.932629659,0.922720786,0.940084196,0.931811547,0.008710567
2,4,tanh,0,100,0.932702,0.92258069,0.940042047,0.931774912,0.008767518
4,4,relu,0,100,0.932380593,0.921689875,0.940576114,0.931548861,0.009470551
2,4,relu,0,100,0.93128853,0.919808364,0.940359728,0.930485541,0.010299186
2,6,relu,0.5,100,0.929299508,0.917527416,0.938869103,0.928565342,0.010689769
2,4,relu,0.5,100,0.92883156,0.916810123,0.938458421,0.928033368,0.010846199
4,6,relu,0,10000,0.928705049,0.916279106,0.938371923,0.927785359,0.011075085
2,6,tanh,0.5,100,0.927178277,0.914924978,0.937699618,0.926600958,0.011398291
2,6,tanh,0.5,10000,0.927185962,0.914694256,0.937659016,0.926513078,0.011497157
4,6,tanh,0.5,100,0.92709789,0.914489717,0.937924014,0.926503874,0.011728436
2,6,relu,0,10000,0.927383355,0.914655081,0.937461528,0.926499988,0.011428857
4,4,tanh,0.5,100,0.927142327,0.914220211,0.938102196,0.926488245,0.011954421
2,4,tanh,0.5,100,0.926812189,0.914070486,0.937749467,0.926210714,0.011850944
4,6,tanh,0,10000,0.926931184,0.914981097,0.936395258,0.926102513,0.010731104
4,6,tanh,0.5,10000,0.926744098,0.914132211,0.937222858,0.926033055,0.011561733
2,6,tanh,0,10000,0.926777987,0.915076017,0.936230811,0.926028272,0.010597305
4,4,tanh,0.5,10000,0.926555938,0.913981525,0.937402242,0.925979902,0.011720979
2,4,tanh,0,10000,0.926229499,0.914411963,0.936054593,0.925565352,0.01083659
4,4,tanh,0,10000,0.926039319,0.914241537,0.934664073,0.924981643,0.010252269
2,4,tanh,0.5,10000,0.925090162,0.91181506,0.9360533,0.924319507,0.012137483
2,4,relu,0.5,10000,0.925344307,0.912269476,0.935024127,0.924212637,0.011419459
2,6,relu,0.5,10000,0.925147515,0.912113752,0.93501937,0.924093546,0.011489124
2,4,relu,0,10000,0.924913401,0.911534379,0.935017638,0.923821806,0.011779624
4,6,relu,0.5,10000,0.923665071,0.912266478,0.932782671,0.92290474,0.010279208
4,6,relu,0.5,100,0.908717063,0.903913626,0.907566873,0.90673252,0.002508059
4,4,relu,0,10000,0.906655108,0.884888285,0.925661598,0.905734997,0.020402223
4,4,relu,0.5,10000,0.896060104,0.870126732,0.917720531,0.894635789,0.023828846
4,4,relu,0.5,100,0.886032668,0.886025004,0.879064613,0.883707428,0.004020798
